name,link,value,words,domain,feature
The best and worst states to have a teen on your car insurance,http://www.cnbc.com/id/102759334,42171,159,www.cnbc.com,0
"Singles Day, by the numbers",http://www.cnbc.com/2015/11/12/singles-day-by-the-numbers.html,42320,170,www.cnbc.com,0
Here's why Europe is suspicious of Google's Android,http://www.cnbc.com/id/102593176,42110,180,www.cnbc.com,0
The one thing Hillary Clinton did a lot as secretary of state,http://www.cnbc.com/2016/08/30/the-one-thing-hillary-clinton-did-alot-as-secretary-of-state.html,42612,183,www.cnbc.com,0
Nepal quake's economic damage among worst in decade,http://www.cnbc.com/id/102623022,42121,223,www.cnbc.com,0
Failed Office Depot and Staples merger a sign of the times for the biggest companies,http://www.cnbc.com/2016/05/11/failed-office-depot-and-staples-merger-a-sign-of-the-times-for-the-biggest-companies.html,42501,235,www.cnbc.com,0
"Even before Trump, US exporters complained that the dollar was too strong",http://www.cnbc.com/2016/11/22/even-before-trump-us-exporters-complained-that-the-dollar-was-too-strong.html,42696,239,www.cnbc.com,0
McDonald's serves up a new franchise plan,http://www.cnbc.com/id/102650408,42129,240,www.cnbc.com,0
Seized ship reminds us of risks of oil choke points,http://www.cnbc.com/id/102627614,42122,248,www.cnbc.com,0
How the biggest boxing match will bring its fighters millions,http://www.cnbc.com/id/102546312,42117,259,www.cnbc.com,0
This China stock market is so different than we are used to,http://www.cnbc.com/2016/01/08/this-china-stock-market-is-so-different-than-we-are-used-to.html,42377,273,www.cnbc.com,0
"Emerging markets funds, by the numbers",http://www.cnbc.com/2015/11/09/emerging-markets-funds-by-the-numbers.html,42317,276,www.cnbc.com,0
Harry Potter and the $25 billion franchise,http://www.cnbc.com/2016/10/13/harry-potter-and-the-25-billion-franchise.html,42656,276,www.cnbc.com,0
A.B. InBev may shed Grolsch and Peroni,http://www.cnbc.com/2015/11/30/ab-inbev-may-shed-grolsch-and-peroni.html,42338,277,www.cnbc.com,0
There may be no one at Barbie's birthday party,http://www.cnbc.com/2016/03/09/there-may-be-no-one-at-barbies-birthday-party.html,42438,289,www.cnbc.com,0
Why 2015 could have this rare market ending,http://www.cnbc.com/2015/12/31/why-2015-could-have-this-rare-market-ending.html,42369,290,www.cnbc.com,0
"Online flower purchases spike at the last minute, compared to other gifts",http://www.cnbc.com/id/102662840,42132,294,www.cnbc.com,0
Here's a map of the US counties that flipped to Trump from Democrats,http://www.cnbc.com/heres-a-map-of-the-us-counties-that-flipped-to-trump-from-democrats/,42683,296,www.cnbc.com,0
Public colleges with the best bang for your buck,http://money.cnn.com/gallery/pf/college/2015/03/05/public-colleges/index.html,42068,308,money.cnn.com,0
American wage earners became more unequal last year,http://www.cnbc.com/2015/10/21/american-wage-earners-became-more-unequal-last-year.html,42298,309,www.cnbc.com,0
Would you like fries with that financial advice?,http://www.cnbc.com/2016/05/06/would-you-like-fries-with-that-financial-advice.html,42496,314,www.cnbc.com,0
History predicts another volatile week,http://www.cnbc.com/2015/09/01/dicts-another-volatile-week-.html,42248,315,www.cnbc.com,0
Cleveland's rents soar ahead of Republican convention,http://www.kspr.com/life/money/clevelands-rents-soar-ahead-of-republican-convention/21052342_31773998,42080,317,www.kspr.com,0
Rare Wall Street sell ratings picked up just before this market began to crack,http://www.cnbc.com/2017/03/21/rare-wall-street-sell-ratings-picked-up-just-before-this-market-began-to-crack.html,42815,319,www.cnbc.com,0
What do Toyota and Madoff have in common?,http://www.cnbc.com/id/102692342,42144,322,www.cnbc.com,0
Why ATandT announced the Time Warner deal on a Saturday,http://www.cnbc.com/2016/10/24/why-atandt-announced-the-time-warner-deal-on-a-saturday.html,42667,330,www.cnbc.com,0
"Beer in the middle, wine on the coasts, says Twitter",http://www.cnbc.com/id/102687627,42142,336,www.cnbc.com,0
These states have more nail salons than McDonald's,http://www.cnbc.com/id/102667837,42136,337,www.cnbc.com,0
Women still shorted on wages and good jobs,http://www.cnbc.com/2016/03/08/women-still-shorted-on-wages-and-good-jobs.html,42437,347,www.cnbc.com,0
Don't be fooled by Apple's record high,http://www.cnbc.com/2017/02/14/dont-be-fooled-by-apples-record-high.html,42780,348,www.cnbc.com,0
"Business taxes may sound high, but these companies pay a lot less",http://www.cnbc.com/2017/03/10/business-taxes-may-sound-high-but-these-companies-pay-a-lot-less.html,42804,348,www.cnbc.com,0
It's finals! What college kids are pigging out on,http://www.cnbc.com/id/102640501,42125,355,www.cnbc.com,0
Where gasoline prices are going up as oil falls,http://www.cnbc.com/2015/12/30/where-gasoline-prices-are-going-up-as-oil-falls.html,42368,356,www.cnbc.com,0
Here are the 52 public companies that make the most money from the federal government,http://www.cnbc.com/2017/01/04/top-government-contractors-52-public-companies-that-make-the-most.html,42739,357,www.cnbc.com,0
Private colleges with the biggest payoff,http://money.cnn.com/gallery/pf/college/2015/03/07/private-colleges/index.html,42070,359,money.cnn.com,0
"Don't fret, the odds are still in 2016's favor",http://www.cnbc.com/2016/01/05/dont-fret-the-odds-are-still-in-2016s-favor.html,42374,361,www.cnbc.com,0
'Seinfeld''s per-line payday,http://www.cnbc.com/id/102717914,42155,370,www.cnbc.com,0
"Brand reputation nightmare: Trump attacks on Twitter, and his followers pile on",http://www.cnbc.com/2017/01/12/trumps-twitter-attacks-can-tank-a-brands-public-sentiment.html,42747,374,www.cnbc.com,0
How Much Is Moby Dick Worth Today?,http://www.nbcnews.com/business/consumer/how-much-moby-dick-worth-today-n479096,42350,375,www.nbcnews.com,0
What were the most popular drugs on Silk Road?,http://www.cnbc.com/id/102722226,42156,378,www.cnbc.com,0
The majority of international markets are down,http://www.cnbc.com/2016/02/12/the-majority-of-international-markets-are-down.html,42412,379,www.cnbc.com,0
"Hyundai recalls 200,000 vehicles for power steering defect",http://fox2now.com/2015/03/01/hyundai-recalls-200000-vehicles-for-power-steering-defect/,42064,380,fox2now.com,0
"Hyundai recalls 200,000 vehicles for power steering defect",http://fox2now.com/2015/03/01/hyundai-recalls-200000-vehicles-for-power-steering-defect/,42064,381,fox2now.com,0
Voters would show up if Trump is on 2016 ballot,http://www.cnbc.com/2015/11/24/voters-would-show-up-if-trump-is-on-2016-ballot.html,42332,381,www.cnbc.com,0
Yahoo will likely pay millions for proxy fight,http://www.cnbc.com/2016/04/14/yahoo-will-likely-pay-millions-for-proxy-fight.html,42474,381,www.cnbc.com,0
"Hyundai recalls 200,000 vehicles for power steering defect",http://fox2now.com/2015/03/01/hyundai-recalls-200000-vehicles-for-power-steering-defect/,42064,383,fox2now.com,0
How Much Is Moby Dick Worth Today?,http://www.nbcnews.com/business/consumer/how-much-moby-dick-worth-today-n479096,42350,384,www.nbcnews.com,0
New Charter to have double Comcast's broadband coverage,http://www.cnbc.com/id/102714113,42152,389,www.cnbc.com,0
"When the Dow crosses a thousand, it usually means a new rally",http://www.cnbc.com/2017/01/25/dow-20000-when-it-crosses-a-thousand-it-usually-means-a-new-rally.html,42760,391,www.cnbc.com,0
Nobel Prizes aren't what they used to be,http://www.cnbc.com/2016/10/14/nobel-prizes-are-depreciating-in-value.html,42657,392,www.cnbc.com,0
Here's why July 4 was a box office dud,http://www.cnbc.com/id/102811656,42191,397,www.cnbc.com,0
CFOs: This year is going to be bad,http://www.cnbc.com/2015/07/15/cfos-this-year-is-going-to-be-bad.html,42200,403,www.cnbc.com,0
"Beijing weakens yuan, and Chinese exporters love it",http://www.cnbc.com/2015/08/12/beijing-weakens-yuan-and-chinese-exporters-love-it.html,42228,403,www.cnbc.com,0
"If Greece were a state, it would be...",http://www.cnbc.com/2015/07/21/if-greece-were-a-state-it-would-be.html,42206,404,www.cnbc.com,0
Microsoft's $40 billion buyback would be biggest of last decade,http://www.cnbc.com/2016/09/22/microsofts-40-billion-buyback-would-be-biggest-of-last-decade.html,42635,406,www.cnbc.com,0
What we do at work while not working,http://www.cnbc.com/id/102748590,42166,407,www.cnbc.com,0
Men still worse at investing than women,http://www.cnbc.com/2015/12/18/men-still-worse-at-investing-than-women-.html,42356,410,www.cnbc.com,0
Who's winning from asset seizures?,http://www.cnbc.com/id/102698834,42146,416,www.cnbc.com,0
"The Aramco investment plan, by the numbers",http://www.cnbc.com/2016/04/08/the-aramco-investment-plan-by-the-numbers.html,42468,416,www.cnbc.com,0
CFOs: This year is going to be bad,http://finance.yahoo.com/news/cfos-going-bad-155757687.html,42200,424,finance.yahoo.com,0
Jeb Bush's working hours: By the numbers,http://www.cnbc.com/id/102821611,42194,425,www.cnbc.com,0
Which GOP hopeful are you?,http://www.cnbc.com/2015/10/28/which-gop-hopeful-are-you.html,42305,425,www.cnbc.com,0
Don't know what to get him? Don't trust a survey,http://www.cnbc.com/id/102770473,42174,428,www.cnbc.com,0
CFOs: This year is going to be bad,http://finance.yahoo.com/news/cfos-going-bad-155757687.html,42200,432,finance.yahoo.com,0
These companies should be worried about wage growth,http://www.cnbc.com/2017/04/07/these-companies-should-be-worried-about-wage-growth.html,42832,435,www.cnbc.com,0
"Dark pools still popular, despite year of regulatory attention",http://www.cnbc.com/2016/02/01/regulators-may-dislike-dark-pools-but-investors-love-them.html,42401,447,www.cnbc.com,0
"Americans Think About Money and Work More Than Sex, Survey Finds",http://www.nbcnews.com/business/personal-finance/americans-think-about-money-work-more-sex-survey-finds-n424261,42256,450,www.nbcnews.com,0
"Corporate debt is at new highs, and these companies owe the most",http://www.cnbc.com/2017/04/11/corporate-debt-is-at-new-highs-and-these-companies-owe-the-most.html,42836,451,www.cnbc.com,0
BlackBerry commits to software on any device,http://money.cnn.com/2015/03/01/technology/mobile/blackberry-software/index.html,42064,453,money.cnn.com,0
Never trust your personal assistant: Survey,http://www.cnbc.com/2015/09/14/never-trust-your-personal-assistant-survey.html,42261,455,www.cnbc.com,0
3 charts explaining the Chinese stock market,http://www.cnbc.com/2015/07/28/3-charts-explaining-the-chinese-stock-market.html,42213,457,www.cnbc.com,0
The market doesn't care if Trump wins or loses,http://www.cnbc.com/2016/04/26/the-market-doesnt-care-if-trump-wins-or-loses.html,42486,457,www.cnbc.com,0
Father's Day is a big day for going to the movies,http://www.cnbc.com/2016/06/09/fathers-day-is-a-big-day-for-going-to-the-movies.html,42530,458,www.cnbc.com,0
"Americans Think About Money and Work More Than Sex, Survey Finds",http://www.nbcnews.com/business/personal-finance/americans-think-about-money-work-more-sex-survey-finds-n424261,42256,459,www.nbcnews.com,0
Driverless cars will kill the most jobs in select US states,http://www.cnbc.com/2016/09/02/driverless-cars-will-kill-the-most-jobs-in-select-us-states.html,42615,459,www.cnbc.com,0
"Don't blame Obama, mergers are going strong as ever",http://www.cnbc.com/2016/05/04/dont-blame-obama-mergers-are-going-strong-as-ever.html,42494,462,www.cnbc.com,0
Millennials not quite ready to start buying homes yet,http://money.cnn.com/2015/02/06/real_estate/millennials-housing/index.html,42041,463,money.cnn.com,0
What Snap's weak start means for its future,http://www.cnbc.com/2017/03/08/what-snaps-weak-start-means-for-its-future.html,42802,463,www.cnbc.com,0
"Hyundai issues safety recall for power steering defect on 200,000 vehicles",http://money.cnn.com/2015/03/01/autos/hyundai-recall/index.html,42064,464,money.cnn.com,0
Trump vs. Clinton: We only love to talk about the one we hate,http://www.cnbc.com/2016/09/26/trump-vs-clinton-we-only-love-to-talk-about-the-one-we-hate.html,42639,465,www.cnbc.com,0
It will take Texans a while to pay off their debt,http://www.cnbc.com/2015/07/27/it-will-take-texans-a-while-to-pay-off-their-debt.html,42212,466,www.cnbc.com,0
We can watch TV whenever we want-and it's not Thursdays,http://www.cnbc.com/id/102731125,42159,467,www.cnbc.com,0
Ted Cruz sizzles up 'machine-gun bacon',http://www.cnbc.com/2015/08/04/ted-cruz-sizzles-up-machine-gun-bacon.html,42220,471,www.cnbc.com,0
Shake Shack's expansion by the numbers,http://www.cnbc.com/2016/03/07/shake-shacks-expansion-by-the-numbers.html,42436,472,www.cnbc.com,0
Steve Ballmer puts the entire government in a spreadsheet,http://www.cnbc.com/2017/04/17/steve-ballmer-puts-the-entire-government-in-a-spreadsheet.html,42842,474,www.cnbc.com,0
Verizon tries to mind the gap,http://www.crainsnewyork.com/article/20140818/REAL_ESTATE/140819870/verizon-tries-to-mind-the-gap,41869,476,www.crainsnewyork.com,0
The companies that need the holiday season the most,http://www.cnbc.com/2016/12/23/the-companies-that-need-the-holiday-season-the-most.html,42727,476,www.cnbc.com,0
New Hampshire: Enough endorsements for everyone,http://www.cnbc.com/id/102796458,42185,482,www.cnbc.com,0
Don't be tricked by high dividend yields,http://www.cnbc.com/2016/08/22/dont-be-tricked-by-high-dividend-yields.html,42604,483,www.cnbc.com,0
"Warren Buffett, Steve Mnuchin, Elon Musk also bought stocks at the 'Dimon Bottom'",http://www.cnbc.com/2017/02/10/buffett-mnuchin-musk-also-bought-stocks-at-dimon-bottom.html,42776,485,www.cnbc.com,0
Want to talk like a pirate? Learn Indonesian,http://www.cnbc.com/2016/09/19/maritime-piracy-is-on-the-decline-globally.html,42632,494,www.cnbc.com,0
"The US government says GDP rose by 1.9%, but be careful with those numbers",http://www.cnbc.com/2017/01/27/government-says-gdp-rose-by-19-but-be-careful-with-those-numbers.html,42762,494,www.cnbc.com,0
States' minimum-wage hikes could cost them employment,http://www.cnbc.com/2016/01/11/states-minimum-wage-hikes-could-cost-them-employment.html,42380,500,www.cnbc.com,0
"Donald Trump's top court nominee is young, but '50 year' term is a serious long shot",http://www.cnbc.com/2017/02/01/gorsuch-age-donald-trumps-scotus-nominee-is-the-youngest-since-1991.html,42767,500,www.cnbc.com,0
Who's winning the social media war? Maybe nobody,http://www.cnbc.com/id/102683581,42142,501,www.cnbc.com,0
Worried about retirement? You're not the only one,http://www.cnbc.com/2015/09/09/worried-about-retirement-youre-not-the-only-one.html,42256,505,www.cnbc.com,0
Women feel more burned out at work: Survey,http://www.cnbc.com/id/102791976,42184,507,www.cnbc.com,0
Who loses when the renminbi joins the IMF basket?,http://www.cnbc.com/2015/12/02/who-loses-when-the-renminbi-joins-the-imf-basket.html,42340,507,www.cnbc.com,0
Young people expect to pay far more for drinks,http://www.cnbc.com/2016/05/27/young-people-expect-to-pay-far-more-for-drinks.html,42517,507,www.cnbc.com,0
Google's many investments have it sometimes fighting itself,http://www.cnbc.com/2016/05/27/googles-many-investments-have-it-sometimes-fighting-itself.html,42517,507,www.cnbc.com,0
Joan Rivers' lavish penthouse listed for sale for $28 million,http://money.cnn.com/2015/02/09/real_estate/joan-rivers-penthouse/index.html,42044,508,money.cnn.com,0
Qatar and Bahrain are not the only countries boosted by foreign-born Olympians,http://www.cnbc.com/2016/08/18/qatar-and-bahrain-are-not-the-only-countries-boosted-by-foreign-born-olympians.html,42600,510,www.cnbc.com,0
Donald Trump's Twitter account is more popular than ever,https://uk.finance.yahoo.com/news/donald-trumps-twitter-account-more-144600215.html,42782,510,uk.finance.yahoo.com,0
Trump has presided over the calmest first 100 days for stocks since at least Kennedy,http://www.cnbc.com/2017/04/28/trump-has-presided-over-the-calmest-first-100-days-since-kennedy.html,42853,513,www.cnbc.com,0
Yikes! What I learned from my entire Google search history,http://www.cnbc.com/id/102611258,42117,515,www.cnbc.com,0
Why China's child policy may not matter,http://www.cnbc.com/2015/10/30/why-chinas-child-policy-may-not-matter.html,42307,516,www.cnbc.com,0
"How to name a hurricane-first tip: Use 'short, distinctive' names",http://www.cnbc.com/2016/09/03/how-to-name-a-hurricane-first-tip-use-short-distinctive-names.html,42616,530,www.cnbc.com,0
Super PACs are spending early and often,http://www.cnbc.com/2015/08/21/super-pacs-spending-early-and-often-.html,42237,533,www.cnbc.com,0
Harvard dominates Crain's most-connected schools,http://www.crainsnewyork.com/article/20140627/NONPROFITS/140629866/harvard-dominates-crains-most-connected-schools,41817,534,www.crainsnewyork.com,0
Marriage hurts a hedge fund manager more than divorce,http://money.cnn.com/2015/02/27/investing/hedge-funds-marriage-divorce/index.html,42062,539,money.cnn.com,0
Vice Media grows in Brooklyn,http://www.crainsnewyork.com/article/20140702/TECHNOLOGY/140709976/vice-media-grows-in-brooklyn,41822,545,www.crainsnewyork.com,0
Tesla's valuation raises grim reminders of the dot-com bubble,http://www.cnbc.com/2017/05/05/teslas-valuation-raises-grim-reminders-of-the-dotcom-bubble.html,42860,548,www.cnbc.com,0
Last year was the worst for IPOs in the last 20 years,http://www.cnbc.com/2016/02/23/last-year-was-the-worst-for-ipos-in-the-last-20-years.html,42423,550,www.cnbc.com,0
AT&T deal to buy Time Warner would give it a bunch of major TV studios,http://www.cnbc.com/2016/12/07/att-deal-for-time-warner-would-give-it-a-lot-of-tv-studios.html,42711,553,www.cnbc.com,0
"Lynch applies for ""I won't get fined"" trademark",http://money.cnn.com/2015/02/24/news/lynch-trademark/index.html,42059,554,money.cnn.com,0
Gas cheaper than water? Not so fast,http://www.cnbc.com/2016/01/15/gas-cheaper-than-water-not-so-fast.html,42384,555,www.cnbc.com,0
'Seinfeld': 25 years of making beaucoup bucks,http://www.cnbc.com/id/102718017,42155,557,www.cnbc.com,0
More CEOs donate to Hillary Clinton than to GOP,http://www.cnbc.com/2015/10/20/more-ceos-donate-to-hillary-clinton-than-to-gop.html,42297,560,www.cnbc.com,0
"Staten Island EDC maxes out, for now.",http://www.crainsnewyork.com/article/20140902/REAL_ESTATE/308319988/staten-island-edc-maxes-out-for-now,41884,562,www.crainsnewyork.com,0
A market downturn may not be such a bad thing right now,http://www.cnbc.com/2017/04/03/a-market-downturn-may-not-be-so-bad-right-now.html,42828,562,www.cnbc.com,0
"Move over, Kitty Hawk",http://www.crainsnewyork.com/article/20140805/REAL_ESTATE/140809951/move-over-kitty-hawk,41856,566,www.crainsnewyork.com,0
Donald Trump's Twitter engagement is stronger than ever,http://www.cnbc.com/2017/02/16/donald-trumps-twitter-engagement-is-stronger-than-ever.html,42782,573,www.cnbc.com,0
Microsoft got LinkedIn users at a discount,http://www.cnbc.com/2016/06/14/microsoft-got-linkedin-users-at-a-discount.html,42535,576,www.cnbc.com,0
Facebook turns 12 - trillions in time wasted,http://www.cnbc.com/2016/02/04/facebook-turns-12--trillions-in-time-wasted.html,42404,578,www.cnbc.com,0
Where zombie foreclosures are still hurting housing markets,http://money.cnn.com/2015/02/06/real_estate/zombie-foreclosure/index.html,42041,582,money.cnn.com,0
Everyone-and your mom-is using emojis at work,http://www.cnbc.com/2015/09/08/emojis-at-work-emails.html,42255,584,www.cnbc.com,0
Which days get the most fake holidays?,http://www.cnbc.com/2015/11/11/which-days-get-the-most-fake-holidays.html,42319,585,www.cnbc.com,0
RadioShack to sell name with $20 million opening bid,http://money.cnn.com/2015/02/26/news/companies/radioshack-name/index.html,42061,586,money.cnn.com,0
Don't expect easy money from hurricanes,http://www.cnbc.com/2015/08/28/dont-expect-easy-money-from-hurricanes.html,42244,586,www.cnbc.com,0
Data: Tax inversions still going strong as M&A weakens,http://www.cnbc.com/2015/11/24/data-tax-inversions-still-going-strong-as-ma-weakens.html,42332,588,www.cnbc.com,0
Buying plane tickets or hotel rooms too early is expensive,http://www.cnbc.com/id/102698322,42145,592,www.cnbc.com,0
Does Eli Manning Deserve to be the Highest-Paid Player in the NFL?,http://www.nbcnews.com/business/careers/does-eli-manning-deserve-be-highest-paid-player-nfl-n413196,42236,593,www.nbcnews.com,0
